;product;brand;rev_rating;rev_loc;rev_dt
122;All is Bright;Yankee Candle Tea Light Scented Candles;4.0;the United Kingdom;23 November 2021
123;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;23 November 2021
124;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;23 November 2021
125;All is Bright;Yankee Candle Tea Light Scented Candles;4.0;the United Kingdom;19 November 2021
126;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;18 November 2021
127;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;18 November 2021
128;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;15 November 2021
129;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;15 November 2021
130;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;13 November 2021
131;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;10 November 2021
132;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;7 November 2021
133;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;29 October 2021
134;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;23 October 2021
135;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;21 October 2021
136;All is Bright;Yankee Candle Tea Light Scented Candles;4.0;the United Kingdom;21 October 2021
137;All is Bright;Yankee Candle Tea Light Scented Candles;3.0;the United Kingdom;20 October 2021
138;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;17 October 2021
139;All is Bright;Yankee Candle Tea Light Scented Candles;4.0;the United Kingdom;9 October 2021
140;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;4 October 2021
141;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;3 October 2021
142;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;26 September 2021
143;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;25 September 2021
144;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;13 September 2021
145;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;11 September 2021
146;All is Bright;Yankee Candle Tea Light Scented Candles;2.0;the United Kingdom;9 September 2021
147;All is Bright;Yankee Candle Tea Light Scented Candles;2.0;the United Kingdom;8 September 2021
148;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;6 September 2021
149;All is Bright;Yankee Candle Tea Light Scented Candles;1.0;the United Kingdom;5 September 2021
150;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;31 August 2021
151;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;30 August 2021
152;All is Bright;Yankee Candle Tea Light Scented Candles;4.0;the United Kingdom;30 August 2021
153;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;30 August 2021
154;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;25 August 2021
155;All is Bright;Yankee Candle Tea Light Scented Candles;2.0;the United Kingdom;15 August 2021
156;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;15 August 2021
157;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;12 August 2021
158;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;11 August 2021
159;All is Bright;Yankee Candle Tea Light Scented Candles;4.0;the United Kingdom;10 August 2021
160;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;3 August 2021
161;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;31 July 2021
162;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;29 July 2021
163;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;16 July 2021
164;All is Bright;Yankee Candle Tea Light Scented Candles;5.0;the United Kingdom;9 July 2021
